brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
ASUS,Vivobook 16X,16 Inches,3200 X 2000 pixels,core_i9,5.4 GHz,32 GB,,Intel,"Integrated, Dedicated",Windows 11 Home,7 pounds,Indie Black,15 ratings,3.9,"$1,699.99 ",https://www.amazon.com/ASUS-Vivobook-Display-i9-13900H-K3605VV-ES96/dp/B0C484PGWB/ref=sr_1_1
ASUS,Asus ROG Zephyrus G14 Alan Walker SE,14 Inches,2560x1440,amd_r_series,3 GHz,24 GB,1 TB,NVIDIA GeForce RTX 3050 Ti 4GB Graphic Dedicated,Dedicated,Windows 10 Pro,3.76 pounds,,,,"$1,049.00 ",https://www.amazon.com/ASUS-ROG-Zephyrus-Alan-Walker/dp/B0C9Z88YV7/ref=sr_1_504
ASUS,ASUS Vivobook,17.3 Inches,1920 x 1080 pixels,core_i3,4.4 GHz,16 GB,512 GB,Intel UHD Graphics,Integrated,Windows 11 Home,4.63 pounds,Silver,856 ratings,4,$555.00 ,https://www.amazon.com/ASUS-Vivobook-i3-1220P-Processor-Fingerprint/dp/B0CBWVRVXY/ref=sr_1_480
ASUS,ASUS VivoBook,17.3 Inches,1920 x 1080 pixels,core_i5_family,2 GHz,12 GB,1 TB,Intel,Integrated,Windows 10 Home,7.17 pounds,,70 ratings,3.9,$508.88 ,https://www.amazon.com/New-ASUS-VivoBook-17-3-inch-Laptop/dp/B09RKH1P4Z/ref=sr_1_503
ASUS,ASUS ROG Zephyrus,15.6 Inches,2560 x 1440 pixels,ryzen_9,4.9 GHz,16 GB,1 TB,NVIDIA GeForce RTX 3060,Dedicated,Windows 11 Home,4.19 pounds,Gray,12 ratings,3.6,"$1,369.00 ",https://www.amazon.com/ASUS-Zephyrus-Display-Graphics-Keyboard/dp/B0B4NRXV8R/ref=sr_1_456
ASUS,ASUS Vivobook 16,16 Inches,1920 x 1200,core_i5_family,2.5 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 10 Home,4.1 pounds,Indie Black,,,$669.00 ,https://www.amazon.com/ASUS-Vivobook-i5-1235U-Graphics-Fingerprint/dp/B0CCVJLJSK/ref=sr_1_432
ASUS,TUF,15.6 Inches,1920 x 1080 pixels,core_i7,2.3 GHz,32 GB,1 TB,NVIDIA GeForce RTX 4070 8GB GDDR6,Dedicated,Windows 11 Pro,4.85 pounds,Black,3 ratings,3.5,"$1,459.00 ",https://www.amazon.com/ASUS-F15-Computer-i7-12700H-Bluetooth5-2/dp/B0CGDJ2WR5/ref=sr_1_384
ASUS,ASUS ROG Strix G15,15.6 Inches,2560 x 1440 pixels,ryzen_7,4.7 GHz,64 GB,4 TB,NVIDIA GeForce RTX 3060,Dedicated,Windows 11,5 pounds,64GB RAM | 4TB PCIe SSD,,,"$1,409.99 ",https://www.amazon.com/ASUS-ROG-Strix-G15-Processor/dp/B0CKP4D9XX/ref=sr_1_312
ASUS,Zenbook,14.5 Inches,,Intel Core i7,,16 GB,1 TB,,Integrated,Windows 11 Home,,,1 rating,5,"$1,199.99 ",https://www.amazon.com/ASUS-Zenbook-14X-Touchscreen-i7-13700H/dp/B0CFLM31WH/ref=sr_1_360
ASUS,VivoBook Pro 15X OLED,15.6 Inches,2880 x 1620 pixels,core_i7,4.7 GHz,16 GB,,NVIDIA GeForce RTX 3060,Dedicated,Windows 11 Home,4.63 pounds,Black,11 ratings,3.6,"$1,167.00 ",https://www.amazon.com/ASUS-VivoBook-Display-Core-i7-12650H-K6501ZM-EB74/dp/B0B7R2XQCB/ref=sr_1_288
Asus,ASUS ROG Strix G16 Gaming Laptop,16 Inches,1920 x 1200 pixels,core_i7,4.9 GHz,32 GB,2 TB,NVIDIA GeForce RTX 4060,Dedicated,Windows 11 Home,5.51 pounds,Eclipse Gray,60 ratings,4.7,"$1,699.99 ",https://www.amazon.com/Asus-ROG-Strix-Gaming-Laptop/dp/B0CK1PJKS8/ref=sr_1_240
ASUS,Vivobook F515EA,15.6 Inches,1920 x 1080 pixels,core_i3_family,1.7 GHz,16 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11 Home,4 pounds,Slate Gtey,,,$579.00 ,https://www.amazon.com/ASUS-Vivobook-Dual-Core-i3-1115G4-Fingerprint/dp/B0CBB4G5JX/ref=sr_1_336
ASUS,ASUS VivoBook 15,15.6 Inches,1920 x 1080 pixels,ryzen_5_3500u,3.6 GHz,8 GB,128 GB,AMD Radeon Graphics,Integrated,Windows 10 Home,3.7 pounds,Slate Grey,"2,842 ratings",4.5,$532.00 ,https://www.amazon.com/ASUS-VivoBook-R5-3500U-Graphics-F512DA-EB51/dp/B07QQB7552/ref=sr_1_216
ASUS,Rog Strix Scar G533Z,15.6 Inches,2560 x 1440,intel_core_i9,2.9 GHz,64 GB,4 TB,NVIDIA GeForce RTX 3070 Ti,Dedicated,Windows 10 Pro,5.07 pounds,Off Black,,,"$2,819.00 ",https://www.amazon.com/ASUS-i9-12900H-DDR5-4TB-Keyboard-Thunderbolt/dp/B0CDKS1J8M/ref=sr_1_601
ASUS,Transformer Book T100TA,10.1 Inches,1366 x 768 pixels,Atom_Z3740,1.33 GHz,2 GB,64 GB,Intel HD Graphics,Integrated,Windows 8.1 Pro,1.1 pounds,,2 ratings,3,$89.00 ,https://www.amazon.com/Transformer-T100TA-C2-EDU-10-1-Inch-Touchscreen-Keyboard/dp/B0CCZS8GJL/ref=sr_1_264
ASUS,Vivobook F1504ZA,15.6 Inches,1920 x 1080,core_i3,1.2 GHz,8 GB,512 GB,Intel UHD Graphics,Integrated,Windows 11 Home,3.75 pounds,Blue,,,$381.99 ,https://www.amazon.com/ASUS-Vivobook-F1504ZA-i3-1215U-Graphics/dp/B0CLGX6CXM/ref=sr_1_167
ASUS,ASUS,14 Inches,1920 x 1080 pixels,ryzen_5,4 GHz,20 GB,1 TB,AMD Radeon Graphics 5,Integrated,Windows 11,3.31 pounds,Black,32 ratings,4.8,$649.99 ,https://www.amazon.com/ASUS-VivoBook-Display-Fingerprint-Accessory/dp/B0CC8RJ51B/ref=sr_1_168
ASUS,ASUS VivoBook,15.6 Inches,1920 x 1080 pixels,core_i3_1005g1,1.2 GHz,20 GB,1 TB,Intel® UHD Graphics for 10th Gen Intel® Processors,,Windows 10,3.97 pounds,Grey,23 ratings,4.5,$449.99 ,https://www.amazon.com/ASUS-F515-i3-1005G1-Processor-Fingerprint/dp/B09NBJDRP3/ref=sr_1_192
ASUS,ROG Zephyrus G15,16.6 Inches,,Ryzen 9,,16 GB,1,,RTX 3080,Windows 10 Home,,Eclipse Gray,100 ratings,4.5,"$1,089.00 ",https://www.amazon.com/Zephyrus-Display-GeForce-Windows-GA503QS-BS96Q/dp/B0992VS1BY/ref=sr_1_165
ASUS,,15.6,1920 x 1080 pixels,,1.8 GHz,8 GB,256 GB,,Dedicated,Windows 11,1.05 pounds,,21 ratings,4.5,$545.00 ,https://www.amazon.com/ASUS-ZenBook-i7-1165G7-Backlit-Keyboard/dp/B08QMW12T4/ref=sr_1_164
Asus,ASUS ROG Flow X13,13.4 Inches,1920 x 1200 pixels,ryzen_9,3.3 GHz,16 GB,1 TB,NVIDIA GeForce RTX 3050 Ti,Dedicated,Windows 11,9.8 ounces,Black,,,"$1,049.00 ",https://www.amazon.com/Asus-ROG-Flow-X13-Touchscreen/dp/B0CDKLZG11/ref=sr_1_163
ASUS,ExpertBook B5,16 Inches,1920 x 1080 pixels,core_i7,4.7 GHz,16 GB,1 TB,Intel CoreTM i7-1260P,Integrated,Windows 11 Pro,1 pounds,Star Black,1 rating,5,"$2,083.47 ",https://www.amazon.com/ASUS-ExpertBook-Convertible-Essentials-B5602FBN-XVE75T/dp/B0BY3W1LKT/ref=sr_1_162
ASUS,2023 ASUS VivoBook Go L510MA,15.6 Inches,1920 x 1080 pixels,pentium_other,1.1 GHz,4 GB,128 GB,Intel UHD Graphics,Integrated,Windows 11 Home,3.46 pounds,Black,,,$399.00 ,https://www.amazon.com/ASUS-2023-Computer-Display-MarxsolAccessory/dp/B0CKGLXBFB/ref=sr_1_161
ASUS,ASUS TUF Gaming F1,17.3 Inches,1920 x 1080 pixels,Core i5,4.5 core_i5,8 GB,512 GB,NVIDIA GeForce RTX 3050,RTX 3050,Windows 11 Home,5.73 pounds,Graphite Black,303 ratings,4.5,$794.50 ,https://www.amazon.com/ASUS-IPS-Type-i5-11400H-Processor-FX706HCB-ES51/dp/B09SVQY3PF/ref=sr_1_159
ASUS,Expertbook B9,14 Inches,1920 x 1080 pixels,apple_ci7,4.7 GHz,32 GB,2 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,2.23 pounds,Black,1 rating,1,"$1,945.24 ",https://www.amazon.com/ASUS-ExpertBook-i7-1255U-Military-B9450CBA-XVE77/dp/B0BCD2YGM5/ref=sr_1_158
