brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Acer,A315-24P-R7VH,15.6 Inches,1920 x 1080 pixels,ryzen_3,4.1 GHz,8 GB,128 GB,AMD Radeon Graphics,Integrated,Windows 11 S,3.92 pounds,Silver,548 ratings,4.3,$292.49 ,https://www.amazon.com/A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_1
Acer,Aspire 5 A515-57,15.6 Inches,1920x1080,core_i7,1.7 GHz,32 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.9 pounds,,,,$759.00 ,https://www.amazon.com/acer-Business-Fingerprint-Thunderbolt-Dockztorm/dp/B0CGT89X9Y/ref=sr_1_480
Acer,Acer Aspire 3,15.6 Inches,1920 x 1080 pixels,ryzen_5,4.3 GHz,8 GB,1 TB,AMD Radeon Graphics,Integrated,Windows 11 Home,3.92 pounds,Steam Blue,490 ratings,4.1,$669.99 ,https://www.amazon.com/acer-Aspire-Touchscreen-i7-1165G7-Graphics/dp/B0CHVXC414/ref=sr_1_408
Acer,AN515-57,15.6 Inches,1920 x 1080 pixels,core_i7_family,3 GHz,32 GB,2 TB,Nvidia RTX 3060 6GB,Dedicated,Windows 11 Pro,5.51 pounds,Black,1 rating,5,"$1,869.00 ",https://www.amazon.com/i7-12700H-14-Core-Thunderbolt-Backlit-Windows/dp/B0BZQXXW2T/ref=sr_1_360
acer,Nitro 5,17.3 Inches,1920 x 1080 pixels,core_i5,2.5 GHz,32 GB,1 TB,NVIDIA GeForce RTX 3050,Dedicated,Windows 11 Home,9.98 pounds,Black,3 ratings,4,"$1,159.00 ",https://www.amazon.com/Acer-i5-12500H-GeForce-Thunderbolt-Accessories/dp/B0BL2ZBP1V/ref=sr_1_432
Acer,CB3-431,14 Inches,1920 x 1080 pixels,celeron,1.6 GHz,4 GB,32 GB,Intel HD Graphics,Integrated,Windows 10,3.42 pounds,Silver,"1,905 ratings",4.2,$293.00 ,https://www.amazon.com/Acer-Chromebook-Aluminum-14-inch-CB3-431-C5FM/dp/B01CVOLVPA/ref=sr_1_336
Acer,2023 Newest Acer 15 Inch Laptop,15.6 Inches,1920 x 1080 pixels,apple_ci3,3 GHz,20 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11 Home,3.64 pounds,Silver,27 ratings,4.4,$499.00 ,https://www.amazon.com/acer-2023-Newest-Laptop-MarxsolCables/dp/B0C13LQJYB/ref=sr_1_384
Acer,CB311-10H-42LY,11.6 Inches,1366 x 768 pixels,amd_a4,2.4 GHz,4 GB,,Shared,Integrated,Chrome OS,2.87 pounds,Black,413 ratings,4.3,$167.41 ,https://www.amazon.com/Acer-Chromebook-Dual-Core-A4-9120C-Bluetooth/dp/B098JCH27M/ref=sr_1_240
Acer,ACER 311,11.6 Inches,1366x768,mediatek_mt8183,2 GHz,4 GB,160 GB,MediaTek,Integrated,Chrome OS,3.88 pounds,Silver,21 ratings,4,$187.11 ,https://www.amazon.com/Acer-311-Chromebook-Computer-Bluetooth/dp/B09WZQXL3T/ref=sr_1_168
Acer,Acer Chromebook 516 GE,16 Inches,2560 x 1600 pixels,apple_ci5,1.2 GHz,8 GB,256 GB,Intel Iris Xe Graphics,Integrated,Chrome OS,3.75 pounds,Titanium Gray,8 ratings,3.7,$599.99 ,https://www.amazon.com/Acer-Chromebook-516-GE-i5-1240P/dp/B0C42WYCJ9/ref=sr_1_288
