brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Dell,Dell,11 Inches,1366 x 768 pixels,celeron,2.4 GHz,4 GB,16 GB,"Intel GMA 3150, Intel GMA X3100",Integrated,Chrome OS,,Black,436 ratings,3.9,$66.99 ,https://www.amazon.com/Dell-Chromebook-Computer-Touchscreen-Renewed/dp/B0CKKRWH2P/ref=sr_1_1
Dell,DELL 3520,15.6 Inches,1920 x 1080 pixels,apple_ci5,2.4 hertz,16 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.74 pounds,Black,,,$619.00 ,https://www.amazon.com/Inspiron-Business-1920x1080-i5-1135G7-Bluetooth/dp/B0CDSHGCX6/ref=sr_1_408
Dell,Alienware m18 Laptop,18 Inches,2560 x 1600 pixels,core_i9,4 GHz,64 GB,4000 GB,NVIDIA GeForce RTX 4090,Nvidia GeForce RTX 4090,Windows 11 Home,8 pounds,Dark Metallic Moon,,,"$5,215.99 ",https://www.amazon.com/Dell-Alienware-m18-Gaming-Laptop/dp/B0CKGY3TG3/ref=sr_1_360
Dell,Alienware m18 Ryzen Edition Laptop,18 Inches,2560 x 1600 pixels,amd_ryzen_7,2.5 GHz,64 GB,4000 GB,AMD Radeon RTX 4090,Nvidia GeForce RTX 4090,Windows 11 Pro,8 pounds,Black,,,"$3,769.99 ",https://www.amazon.com/Dell-Alienware-m18-Ryzen-Laptop/dp/B0CKK574YG/ref=sr_1_312
DELL,Dell Latitude 7420,14 Inches,1920 x 1080 pixels,apple_ci7,2.8 GHz,32 GB,512 GB,i7-1185G7,Integrated,Windows 11,5.41 pounds,,1 rating,5,$638.00 ,https://www.amazon.com/Dell-Latitude-7420-Touchscreen-Pro-Carbon/dp/B0CDBXNQZV/ref=sr_1_264
Dell,E6430,14 Inches,1366x768,Core_i7_3520M,2.9 GHz,16 GB,240 GB,Intel HD Graphics 3000,Integrated,Windows 10,4 pounds,Grey,312 ratings,3.8,$172.68 ,https://www.amazon.com/Dell-E6430-Processor-Professional-Refurbished/dp/B06Y1FJNYP/ref=sr_1_288
Dell,Dell Latitude E5570,15.6 Inches,,Core i7,,16 GB,512 GB,,Integrated,Windows 10 Pro,,,11 ratings,4.1,$263.04 ,https://www.amazon.com/Dell-Latitude-i7-6600U-Certified-Refurbished/dp/B081QTT35J/ref=sr_1_384
Dell,Latitude 9000,14 Inches,1920 x 1200 pixels,core_i7,1.1 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Iris Xe Graphics,Windows 10 Pro,5.52 pounds,Graphite,,,"$1,017.64 ",https://www.amazon.com/Dell-Latitude-9430-Notebook-Board/dp/B0B795SYB3/ref=sr_1_216
Dell,G15,15.6 Inches,1920 x 1080 pixels,ryzen_7_5800h,3.2 GHz,32 GB,1 TB,NVIDIA GeForce RTX 3050 Ti,Integrated,Windows 10,5.39 pounds,Phantom Grey,40 ratings,4.4,$999.99 ,https://www.amazon.com/Dell-G15-Display-Processor-Keyboard/dp/B09L2S4W7P/ref=sr_1_72
Dell,Dell Latitude,12.5 Inches,1366 x 768 pixels,core_i5,2 GHz,8 GB,256 GB,Intel Integrated Graphics,Integrated,Windows 10 Pro,3 pounds,Black,117 ratings,4,$189.95 ,https://www.amazon.com/Dell-Latitude-E7240-Professional-Refurbished/dp/B07B2S88X5/ref=sr_1_168
