brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
HP,HP Laptop,14 Inches,1366 x 768 pixels,celeron_n,1.1 GHz,8 GB,64 GB,Intel UHD Graphics 600,Integrated,Windows 11 Home,3.24 pounds,Snowflake White,600 ratings,4.2,$296.99 ,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_1
HP,HP 14 Laptop,14 Inches,,Ryzen 3 3250U,,4 GB,128 GB,,Integrated,Windows 11 S,,Silver,2 ratings,5,$261.00 ,https://www.amazon.com/HP-Display-i5-7200U-Graphics-Bluetooth/dp/B0BDD3592K/ref=sr_1_408
HP,HP,17.3 Inches,1920 x 1080 pixels,ryzen_5,4 GHz,16 GB,1 TB,AMD Radeon Graphics,Integrated,Windows 11 Home,5 pounds,Silver,18 ratings,4.5,$649.99 ,https://www.amazon.com/Ultrathin-HP-i7-1065G7-Graphics-Fingerprint/dp/B09M8GJK8H/ref=sr_1_407
HP,Pavilion x360 2-in-1,14 Inches,,Intel Core i5,,8 GB,512 GB,,Dedicated,Windows 11,,Natural Silver,59 ratings,4.1,$556.00 ,https://www.amazon.com/HP-Pavilion-2-Touch-Screen-14-ek0033dx/dp/B0B69TQ6CJ/ref=sr_1_312
HP,HP 14 Stream,14 Inches,,Celeron N,,16 GB,64 GB,,Integrated,Windows 11 S,,White,70 ratings,4.4,$274.99 ,https://www.amazon.com/HP-Stream-14-Celeron-Storage/dp/B0CG6B8L2Z/ref=sr_1_288
HP,TPN-I139,17.3 Inches,,Core i7 Family,,32 GB,1 TB,,Integrated,Windows 11 Home,,Gold,3 ratings,3.6,$879.00 ,https://www.amazon.com/HP-Essential-Touchscreen-i7-1355U-Fingerprint/dp/B0CJCL2RJC/ref=sr_1_240
HP,HP 17,17.3 Inches,1600 x 900 pixels,ryzen_5,2.3 GHz,16 GB,512 GB,Integrated AMD Radeon Graphics,Integrated,Windows 11 Pro,5.08 pounds,Silver,18 ratings,4.4,$663.22 ,https://www.amazon.com/HP-Touchscreen-Business-Bluetooth-Durlyfish/dp/B09VL5GGJ6/ref=sr_1_216
HP,,17.3 Inches,,Intel Core i3,,32 GB,1 TB,,Integrated,Windows 11 Home,,Silver,59 ratings,4.3,$599.99 ,https://www.amazon.com/HP-Pavilion-i3-1125G4-i5-1035G4-Bluetooth/dp/B0C47TNWVR/ref=sr_1_192
HP,Pavilion,14 Inches,1366 x 768 pixels,amd_ryzen_7_5700u,3 GHz,16 GB,,AMD Radeon Graphics,Integrated,Windows 11,3.3 pounds,Ryzen 7 5700U,58 ratings,3.9,$499.00 ,https://www.amazon.com/HP-Touchscreen-i3-1115G4-Micro-Edge-Anti-Glare/dp/B0BNK1X697/ref=sr_1_168
HP,OMEN 16-k00,16.1 Inches,2560x1440,core_i9,,16 GB,1 TB,NVIDIA GeForce RTX 3060,Dedicated,Windows 11 Pro,5.2 pounds,,,,"$1,229.00 ",https://www.amazon.com/HP-14-Core-i9-12900H-Thunderbolt-Dockztorm/dp/B0CGXWT2RT/ref=sr_1_72
HP,HP Chromebook,11.6 Inches,1366 x 768 pixels,8032,,4 GB,,Intel Celeron,Dedicated,Chrome OS,0.388 ounces,Black,99 ratings,4.4,$104.95 ,https://www.amazon.com/HP-Chromebook-inches-Touchscreen-Convertible/dp/B084KMGXVW/ref=sr_1_96
HP,HP Laptops,15.6 Inches,1366 x 768 pixels,pentium_N5000,1 GHz,16 GB,1000 GB,Intel UHD Graphics 605,Integrated,Windows 11,3.9 pounds,Red,78 ratings,4.4,$529.99 ,https://www.amazon.com/HP-Laptops-Business-Computer-Light-Weight/dp/B0BLGFBF8C/ref=sr_1_336
HP,HP,14 Inches,1366 x 768 pixels,A_Series_Dual_Core_A4,2.2 GHz,4 GB,32 GB,G,Integrated,Chrome OS,3 pounds,Chalkboard Gray,"5,160 ratings",4.4,$195.00 ,https://www.amazon.com/HP-Chromebook-180-degree-14-db0020nr-Chalkboard/dp/B07M8QVNKG/ref=sr_1_384
HP,Victus 15,15.6 Inches,1920 x 1080 pixels,amd_r_series,4.5 GHz,64 GB,2 GB,GeForce RTX 2050 4GB GDDR6 Graphic,Dedicated,Windows 11 Home,5.06 pounds,Mica Silver,4 ratings,4.7,$897.99 ,https://www.amazon.com/HP-Victus-i7-11800H-Bluetooth-Home64GB/dp/B0CFXW6D1H/ref=sr_1_144
HP,Elitebook,14 Inches,1920 x 1080 Pixels,ryzen_5,2 GHz,16 GB,256 GB,AMD Radeon Vega 8,Integrated,Windows 10,4 pounds,Silver,21 ratings,4.1,$247.00 ,https://www.amazon.com/HP-Elitebook-745-G5-Laptop/dp/B0C8L8MPYX/ref=sr_1_143
HP,HP EliteBook 840 G6,14 Inches,1366x768,core_i5,1.6 GHz,16 GB,256 GB,Intel UHD Graphics 620,Integrated,Windows 10 Pro,3.36 pounds,Silver,96 ratings,4.1,$238.00 ,https://www.amazon.com/HP-EliteBook-840-G6-Computer/dp/B08FCPQTDQ/ref=sr_1_97
HP,14-dq0070nr,14 Inches,1366 x 768 pixels,celeron_n4020,2.8 GHz,4 GB,64 GB,Intel UHD Graphics 600,Integrated,Windows 11 S,3.24 pounds,Pale rose gold,778 ratings,4.2,$246.99 ,https://www.amazon.com/HP-Touchscreen-Portable-Microsoft-14-dq0070nr/dp/B0949SGBF8/ref=sr_1_142
HP,HP Stream,14 Inches,1366 x 768 pixels,celeron_n4020,2.8 GHz,8 GB,64 GB,,Integrated,Windows 11,4.33 pounds,Rose Gold,14 ratings,4.1,$345.95 ,https://www.amazon.com/HP-Touchscreen-Celeron-Dual-Core-Processor/dp/B0C4R1HQYG/ref=sr_1_934
HP,HP ENVY 17,17.3 Inches,1920 x 1080 pixels,core_i7,2.4 GHz,64 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,5.4 pounds,Silver,,,"$1,459.00 ",https://www.amazon.com/HP-Envy-17-3-Touchscreen-Laptop/dp/B0CDCNT5QX/ref=sr_1_933
hp,HP Envy x360 Convertible 2-in-1,15.6 Inches,1920 x 1080 pixels,ryzen_7_4700u,4.1 GHz,64 GB,2 TB,AMD Radeon Graphics,Integrated,Windows 10 Home,4.52 pounds,Black,1 rating,5,$888.88 ,https://www.amazon.com/Convertible-Touchscreen-Processor-Backlit-Keyboard/dp/B0CFVRJZRX/ref=sr_1_931
HP,17-CN0065CL,17.3 Inches,1600x900,core_i7_family,2.9 GHz,32 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,4.6 pounds,Silver,73 ratings,4.3,$851.30 ,https://www.amazon.com/2022-HP-Performance-Business-Laptop/dp/B09MJQ9P4W/ref=sr_1_928
HP,TPN-C160_537Z6AV,17.3 Inches,3840 x 2160 pixels,core_i7_family,1.8 GHz,32 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,5.45 pounds,Gray,2 ratings,5,"$1,339.00 ",https://www.amazon.com/HP-Premium-Display-i7-13700H-Keyboard/dp/B0CF2QNYZP/ref=sr_1_929
HP,HP,14 Inches,1366 x 768 pixels,celeron_n,1.1 GHz,4 GB,64 GB,Intel UHD Graphics 600,Integrated,Windows 10 S,3.24 pounds,Snowflake White,5 ratings,3.7,$179.00 ,https://www.amazon.com/HP-Computer-Celeron-Processor-Graphics/dp/B09SLZND6W/ref=sr_1_926
