brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Lenovo,Lenovo Ideapad 1i,14 Inches,1366 x 768 pixels,celeron_n4020,1.1 GHz,4 GB,64 GB,Intel UHD Graphics 600,Integrated,Windows 11,3.08 pounds,Gray,272 ratings,4.0,$172.00,https://www.amazon.com/Lenovo-IdeaPad-Display-Celeron-Graphics/dp/B0BLW25MB7/ref=sr_1_1
Lenovo,Lenovo Thinkpad,14 Inches,1366 x 768 pixels,i5_2320,2.6 GHz,8 GB,128 GB,Intel HD Graphics 4000,Integrated,Windows 10,1.6 ounces,Black,688 ratings,4.0,$129.35,https://www.amazon.com/Lenovo-T430-LED-backlit-Certified-Refurbished/dp/B0733H5YZY/ref=sr_1_15
Lenovo,IdeaPad,14 Inches,1920 x 1080 pixels,core_i3_family,3 GHz,20 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11 Home,3.3 pounds,Grey,79 ratings,4.4,$358.00,https://www.amazon.com/Lenovo-3i-i3-1115G4-Processor-Platinum/dp/B0BV4G3XVN/ref=sr_1_14
Lenovo,ThinkPad,14 Inches,1920 x 1080 pixels,celeron,2 GHz,8 GB,256 GB,Intel HD Graphics 520,Integrated,Windows 10 Pro,4 pounds,Black,9 ratings,4.5,$139.00,https://www.amazon.com/Lenovo-ThinkPad-L460-Computer-10-64bit/dp/B0C78J2GMZ/ref=sr_1_11
Lenovo,Lenovo ThinkPad,14 Inches,1920 x 1080 pixels,core_i7,2.8 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.17 pounds,Black,13 ratings,4.3,$699.00,https://www.amazon.com/Lenovo-ThinkPad-Touchscreen-i7-1165G7-Fingerprint/dp/B0CGFDGL3W/ref=sr_1_13
Lenovo,,14 Inches,1920 x 1080 pixels,ryzen_5_3500u,,8 GB,512 GB,AMD Radeon Vega 8,Integrated,Windows 10 Pro,8 ounces,Black,,,$499.89,https://www.amazon.com/Lenovo-ThinkPad-T495s-Laptop-Renewed/dp/B0CHG345W9/ref=sr_1_12
Lenovo,Ideapad,14 Inches,1366 x 768 pixels,pentium_N5000,1.1 GHz,4 GB,128 GB,Intel UHD Graphics,Integrated,Windows 11 Home,3.08 pounds,Grey,46 ratings,3.7,$219.00,https://www.amazon.com/Lenovo-Ideapad-1i-Pentium-Microsoft/dp/B0BVGH3CG8/ref=sr_1_7
Lenovo,Lenovo Thinkpad Yoga,11.6 Inches,1366 x 768 pixels,celeron,1.83 GHz,4 GB,128 GB,,Integrated,Windows 10 Pro,2 pounds,,29 ratings,3.6,$104.99,https://www.amazon.com/Lenovo-Thinkpad-Convertible-Celeron-Touchscreen/dp/B07ZC9N7SQ/ref=sr_1_10
Lenovo,Lenovo Ideapad 1i,14,1366 x 768 pixels,celeron_n4020,1.1 GHz,4 GB,64 GB,Intel UHD Graphics,,Windows 11 S,3.08 pounds,Silver,34 ratings,4.2,$179.99,https://www.amazon.com/Lenovo-Ideapad-1i-Display-Celeron/dp/B0BKZJLRTD/ref=sr_1_8
Lenovo,Lenovo 500E,11.6 Inches,1366 x 768 pixels,celeron_n3450,1.1 GHz,4 GB,32 GB,Intel HD Graphics 500,Integrated,Chrome OS,4.07 pounds,Black,202 ratings,4.1,$74.00,https://www.amazon.com/Lenovo-Chromebook-Laptop-Celeron-Renewed/dp/B0B4BK92GK/ref=sr_1_16
