brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Apple,MacBook Air,15.3-inch,resolutionx224,"Apple M2 chip,",3.2 GHz,8GB RAM,256GB,Apple 10-core GPU,Integrated,mac_os,3.3 pounds (1.51 kg),Midnight,"1,074 ratings",4.8,"$1,099.00 ",https://www.amazon.com/Apple-2023-MacBook-Laptop-chip/dp/B0C75NSLJY/ref=sr_1_1
Apple,MacBook Pro,13.3 Inches,1366 x 768 pixels,Core i5-3210M,2.5 GHz,8 GB,500 GB,Intel HD Graphics 4000,Integrated,Chrome OS,4.5 Pounds,Silver,133 ratings,3.8,$279.99 ,https://www.amazon.com/Apple-Macbook-Computer-MD101LLA-Renewed/dp/B07K1QXT6V/ref=sr_1_24
Apple,MGXC2LL/A,15.4 Inches,2560 x 1600 pixels,Core i7,2.2 GHz,16 GB,256 GB,Intel Iris Pro,Integrated,OS X 10.9 Mavericks,6.3 Pounds,Silver,690 ratings,3.9,$497.09 ,https://www.amazon.com/Apple-MacBook-MGXA2LL-Processor-Refurbished/dp/B078WYC1R9/ref=sr_1_23
Apple,Mvvl2ll/a,16 Inches,2560 x 1600 pixels,Core i7,2.6 GHz,16 GB,512 GB,Intel UHD Graphics 630,Integrated,macOS 11 Big Sur,4.3 Pounds,Space Gray,597 ratings,4.2,$670.00 ,https://www.amazon.com/Apple-MacBook-16-inch-512GB-Storage/dp/B082P8N4KJ/ref=sr_1_22
Apple,MVFJ2LL/A,13 Inches,2560 x 1600 pixels,Core i5,1.6 GHz,8 GB,256 GB,Intel UHD Graphics 617,Integrated,macOS 10.13 High Sierra,2.75 Pounds,Space Gray,"1,545 ratings",4.3,$520.00 ,https://www.amazon.com/Apple-Macbook-Air-13-3-MVFJ2LL/dp/B084Z6RK9C/ref=sr_1_21
Apple,MacBook Air,15 Inches,2560 x 1600 pixels,Unknown,,8 GB,256 GB,Apple M2 10-core GPU,Integrated,macOS 10.15 Catalina,6.3 Pounds,Midnight,4 ratings,5,$949.00 ,https://www.amazon.com/Apple-MacBook-15-3-inch-Storage-Midnight/dp/B0CC4QCS9T/ref=sr_1_17
Apple,Myda2ll/a,13.3 Inches,2560 x 1600 pixels,Apple M1,3.2 GHz,8 GB,512 GB,8-core GPU,Integrated,Mac OS,3 Pounds,Silver,692 ratings,4.5,$812.39 ,https://www.amazon.com/MacBook-Pro-13-3-Laptop-Memory/dp/B08PNJKKGH/ref=sr_1_14
Apple,MacBook Pro,13.3 Inches,1280 x 800 pixels,Core i5,,2 GB,,Intel HD Graphics 4000,Integrated,MacOS,8.1 Pounds,,2 ratings,3.7,$190.00 ,https://www.amazon.com/Apple-MacBook-MD101LL-13-3-Inch-Refurbished/dp/B07KQFS769/ref=sr_1_13
Apple,MD760LL/B-R-C,13.3 Inches,1440 x 900 pixels,Core i5-4260U,1.4 GHz,4 GB,128 GB,Intel HD Graphics 5000,Integrated,OS X 10.9 Mavericks,2.4 Pounds,Silver,"1,159 ratings",4.2,$265.00 ,https://www.amazon.com/Apple-MacBook-13-3-Inch-Processor-Refurbished/dp/B06XWB7DPS/ref=sr_1_12
Apple,,9.7 Inches,1366 x 768 pixels,Core i5,1.7 GHz,4 GB,64 GB,Intel,Integrated,macOS 10.13,,Silver,286 ratings,3.8,$245.00 ,https://www.amazon.com/Apple-MacBook-MD223LL-macOS-10-13/dp/B07MWJ9NJV/ref=sr_1_48
